Asthenia, 1, 2.0632192510535368
Fever, 18, 11.140877381099342
Fever of Unknown Origin, 2, 2.9463098333420885
Body Weight, 8, 2.74390277715812
Weight Loss, 1, 1.0000537113811745
Obesity, Morbid, 2, 3.5058799047491203
Flushing, 1, 2.6140121352265933
Neurologic Manifestations, 2, 0.13988282635066876
Dyskinesias, 3, 2.2438562361255703
Ataxia, 2, 2.4393194255538804
Catalepsy, 13, 47.768819509611625
Dystonia, 7, 10.752763234661318
Hyperkinesis, 3, 7.023000757567818
Hypokinesia, 2, 5.758586541978415
Myoclonus, 1, 1.775070869430331
Psychomotor Agitation, 8, 17.940481437674826
Akathisia, Drug-Induced, 2, 6.221822898588779
Tics, 2, 7.444761197680135
Tremor, 7, 12.175469507797763
Catatonia, 1033, 2791.069429458977
Speech Disorders, 5, 5.764582805120021
Echolalia, 4, 17.90460960486579
Mutism, 17, 49.68085770892991
Learning Disorders, 1, 1.7353123772912469
Confusion, 1, 1.508948211276995
Delirium, 16, 33.34328239252344
Consciousness Disorders, 1, 0.8771292762243725
Unconsciousness, 2, 1.8559456584112932
Coma, 15, 19.68127219264863
Stupor, 7, 33.955920954605006
Memory Disorders, 1, 1.4679976076638996
Amnesia, 1, 2.1714861420185776
Amnesia, Retrograde, 1, 3.3985935217461702
Mental Retardation, 8, 7.243573472581715
Hallucinations, 13, 22.402746396217786
Psychomotor Disorders, 11, 14.648050908008205
Muscle Rigidity, 5, 12.009664017588817
Muscle Spasticity, 1, 1.7272802055939827
Muscle Weakness, 2, 1.9859821634057242
Spasm, 1, 1.3672774715625755
Pain, 4, 1.3175468345229604
Headache, 2, 1.7691285094237812
Paraplegia, 1, 1.2774792836657665
Paresis, 1, 1.2877357838329555
Psychophysiologic Disorders, 8, 11.860045073227825
Seizures, 12, 10.142003106256967
Hearing Loss, Sensorineural, 1, 1.2148558604642947
Vision Disorders, 1, 0.6634894318679091
Blindness, 1, 1.0981383550099497
Sleep Disorders, 2, 2.9859978197386337
Voice Disorders, 1, 1.66524481467453
Abdominal Pain, 1, 0.8484836781474079
Chest Pain, 1, 1.0995608303564925
Vomiting, 1, 0.8435126654253875
Anoxia, 1, 1.0019885717074701
Purpura, Thrombotic Thrombocytopenic, 2, 4.368077216179395
