Asthenia, 4, 0.0077070149706361495
Fever, 53, 0.030633991583719142
Fever of Unknown Origin, 1, 0.0013757174608385065
Hypothermia, 7, 0.012717327812082072
Body Weight, 324, 0.10377782689776405
Birth Weight, 761, 1.0
Fetal Macrosomia, 47, 0.14645297807531668
Weight Gain, 148, 0.2054768454891735
Weight Loss, 20, 0.018678162587711725
Fetal Weight, 21, 0.07014211376538777
Overweight, 28, 0.02154262675340899
Obesity, 386, 0.30010992931830355
Obesity, Morbid, 36, 0.05893189007329477
Thinness, 14, 0.03491545024664257
Cardiac Output, Low, 1, 0.002001066796670616
Cyanosis, 5, 0.008140484696510072
Edema, 144, 0.08013103310512479
Hydrops Fetalis, 28, 0.06121252885881783
Eye Manifestations, 2, 0.0028162858614652806
Eye Hemorrhage, 2, 0.005141153404472267
Fatigue, 34, 0.036133250301053015
Mental Fatigue, 1, 0.003348048430876201
Fetal Distress, 160, 0.3867593910157849
Heart Murmurs, 2, 0.00441419185201549
Hot Flashes, 1, 0.0031804503530646995
Hypergammaglobulinemia, 3, 0.0047041932532084895
Motion Sickness, 2, 0.0065282707634366334
Neurologic Manifestations, 5, 0.0003265767308385318
Cerebrospinal Fluid Rhinorrhea, 1, 0.0025003790250067806
Dyskinesias, 1, 0.0006984810103169496
Ataxia, 5, 0.005694944720885696
Cerebellar Ataxia, 1, 0.0015957630740187868
Athetosis, 1, 0.002411372853918702
Chorea, 26, 0.048390248570440636
Dystonia, 6, 0.008607045987851008
Torticollis, 4, 0.008049821798610916
Hyperkinesis, 2, 0.004372323489915559
Myoclonus, 5, 0.008288320398846393
Psychomotor Agitation, 2, 0.004188465396672476
Akathisia, Drug-Induced, 8, 0.023241195621640825
Tremor, 5, 0.008121542318186717
Gait Disorders, Neurologic, 2, 0.003258726375183454
Meningism, 2, 0.005742019701087405
Catatonia, 1, 0.0025231969343214567
Language Development Disorders, 2, 0.00464420117704355
Speech Disorders, 2, 0.002153320639861503
Aphasia, 2, 0.003381801935068122
Dysarthria, 2, 0.003785085330787315
Learning Disorders, 15, 0.024308029424801807
Confusion, 1, 0.0014091433142997408
Delirium, 1, 0.001946118126731042
Consciousness Disorders, 3, 0.002457342497504551
Unconsciousness, 4, 0.0034663792921569257
Coma, 26, 0.03185782237445845
Persistent Vegetative State, 5, 0.0144518255636324
Syncope, 4, 0.005569123371497054
Syncope, Vasovagal, 3, 0.008916197907256404
Memory Disorders, 13, 0.017821716467300446
Amnesia, 2, 0.004055719283474215
Mental Retardation, 75, 0.06341689521452301
Perceptual Disorders, 1, 0.0012943807191259996
Hallucinations, 4, 0.0064372256261795895
Psychomotor Disorders, 11, 0.013679199093966083
Muscle Cramp, 18, 0.03769618857005228
Muscle Hypertonia, 1, 0.0013825021360308128
Muscle Rigidity, 1, 0.0022430640933726333
Muscle Spasticity, 2, 0.003226068774852393
Muscle Hypotonia, 5, 0.00773473063253204
Muscle Weakness, 15, 0.013909689545508148
Muscular Atrophy, 4, 0.005456800212552246
Myotonia, 2, 0.0057040952317893145
Spasm, 4, 0.005107371859275503
Hemifacial Spasm, 1, 0.0030270146390250423
Trismus, 2, 0.004852252102568253
Tetany, 12, 0.026684505974278273
Pain, 118, 0.03629684758459748
Back Pain, 73, 0.07818798877079502
Low Back Pain, 90, 0.13367046139182961
Facial Pain, 2, 0.003683749553053785
Headache, 52, 0.04295498374734012
Labor Pain, 6, 0.02569689486115635
Neuralgia, 2, 0.002873133778452265
Sciatica, 6, 0.01215552098679336
Pain, Intractable, 4, 0.007444653626221637
Paralysis, 10, 0.004524274573822478
Facial Paralysis, 21, 0.026614051123406413
Hemiplegia, 5, 0.0060450137553146035
Ophthalmoplegia, 2, 0.002483776943972415
Paraplegia, 23, 0.027438636860070795
Brown-Sequard Syndrome, 1, 0.003301345801010287
Quadriplegia, 16, 0.02045731189119369
Respiratory Paralysis, 2, 0.004649529899463243
Paresis, 4, 0.0048102493029554124
Paraparesis, 1, 0.0020880000302358637
Psychophysiologic Disorders, 52, 0.07199138455028822
Reflex, Abnormal, 9, 0.011826544021024968
Seizures, 82, 0.06471980132952745
Sensation Disorders, 2, 0.000641227793560409
Dizziness, 4, 0.0050147105524016855
Hearing Disorders, 7, 0.004804807609242817
Hearing Loss, 3, 0.0022512062425898284
Deafness, 9, 0.010325428949743606
Hearing Loss, Bilateral, 1, 0.0020654963396221945
Hearing Loss, Sensorineural, 10, 0.011345028284054662
Hearing Loss, Sudden, 3, 0.0072429147194113894
Tinnitus, 3, 0.005530401097850863
Olfaction Disorders, 2, 0.0042737640524995665
Hypesthesia, 3, 0.004824201138250546
Paresthesia, 10, 0.012681960699799027
Taste Disorders, 2, 0.0044378641073237034
Ageusia, 1, 0.003348048430876201
Vision Disorders, 29, 0.01796854193609799
Amblyopia, 2, 0.004787942540422408
Blindness, 12, 0.012306063067562703
Diplopia, 8, 0.012283334954561843
Hemianopsia, 3, 0.005833023124708485
Scotoma, 1, 0.0022237088311898557
Vision, Low, 1, 0.002106824232518892
Sleep Disorders, 39, 0.05437570835014233
Sleep Deprivation, 8, 0.019244289780824403
Urinary Bladder, Neurogenic, 3, 0.005822390952889742
Vertigo, 2, 0.002981345200412365
Oral Manifestations, 1, 0.0017423700530644147
Oral Hemorrhage, 2, 0.004811072445206101
Abdominal Pain, 128, 0.10142249545581138
Abdomen, Acute, 95, 0.12753886233430867
Colic, 19, 0.03787746513498038
Renal Colic, 2, 0.00911747484085202
Arthralgia, 12, 0.01655506056298349
Chest Pain, 11, 0.011295170101276092
Toothache, 2, 0.005099952117385087
Flank Pain, 5, 0.014702923147447653
Pain, Postoperative, 5, 0.007834392830927983
Pelvic Pain, 97, 0.18488947635074673
Dysmenorrhea, 7, 0.018042820767387394
Anorexia, 4, 0.006818136690937856
Constipation, 46, 0.06847057165109904
Diarrhea, 11, 0.009483392540159064
Dyspepsia, 11, 0.021387751457264445
Heartburn, 57, 0.16910445511910738
Hiccup, 2, 0.00551672088534355
Hyperphagia, 4, 0.008962490532941587
Bulimia, 20, 0.05162099971024374
Nausea, 199, 0.21162329333224522
Vomiting, 214, 0.16857229954178518
Hematemesis, 2, 0.0038957972000911345
Morning Sickness, 6, 0.01597000892617905
Hyperemesis Gravidarum, 141, 0.37857356932643504
Anoxia, 114, 0.10667151161005214
Fetal Hypoxia, 66, 0.1685229542788929
Apnea, 4, 0.0070097392981431925
Cough, 5, 0.0061388514845533175
Dyspnea, 50, 0.04693671397548945
Dyspnea, Paroxysmal, 1, 0.003504053219357541
Hemoptysis, 8, 0.012678611368503992
Hypercapnia, 5, 0.009856795339374043
Hyperoxia, 1, 0.0027541252518727384
Hyperventilation, 6, 0.011795355399504125
Hypoventilation, 3, 0.007063757640881418
Respiratory Aspiration, 1, 0.003109815750934405
Respiratory Sounds, 6, 0.009185068368841653
Snoring, 9, 0.023197912415212366
Skin Manifestations, 2, 0.0011437093379377712
Jaundice, 96, 0.13041544149181106
Jaundice, Obstructive, 4, 0.009331215795625597
Pallor, 1, 0.003301345801010287
Pruritus, 229, 0.3134968144343379
Purpura, 1, 0.0009928951696203062
Purpura, Hyperglobulinemic, 1, 0.0034314840649574763
Purpura, Schoenlein-Henoch, 1, 0.0018660484637485102
Purpura, Thrombocytopenic, 22, 0.02906905755579901
Purpura, Thrombocytopenic, Idiopathic, 20, 0.03611965502060195
Purpura, Thrombotic Thrombocytopenic, 10, 0.020395818622281098
Striae Distensae, 1, 0.0059780388144593175
Oliguria, 4, 0.009764464270740349
Polyuria, 12, 0.02645695915848973
Proteinuria, 133, 0.15512692390327068
Albuminuria, 21, 0.04049845048768159
Urinary Bladder, Overactive, 1, 0.003308969173717022
Urinary Incontinence, 42, 0.06344279207025794
Urinary Incontinence, Stress, 34, 0.088972368320392
Urinary Incontinence, Urge, 1, 0.003854821614775235
Urinoma, 2, 0.009578539343642787
Virilism, 31, 0.0644723736950283
Hirsutism, 17, 0.03943054472405172
